product_id,avg_sentiment,sentiment,sentiment_score
B008YW8M0G,0.9843,Positive,0.9843
B08GYG6T12,0.9842,Positive,0.9842
B0BMZ6SY89,0.9842,Positive,0.9842
B0BJ966M5K,0.9842,Positive,0.9842
B00PVT30YI,0.9841,Positive,0.9841
B08GJNM9N7,0.9841,Positive,0.9841
B09CYTJV3N,0.9839,Positive,0.9839
B0B9XN9S3W,0.9838,Positive,0.9838
B08F47T4X5,0.9838,Positive,0.9838
B01LY9W8AF,0.9837,Positive,0.9837
B07Z1YVP72,0.9834,Positive,0.9834
B0814P4L98,0.9834,Positive,0.9834
B09CKSYBLR,0.9833,Positive,0.9833
B0B84KSH3X,0.9833,Positive,0.9833
B08JMC1988,0.9833,Positive,0.9833
B00EYW1U68,0.9833,Positive,0.9833
B07LDPLSZC,0.9832,Positive,0.9832
B0B466C3G4,0.9832,Positive,0.9832
B07QZ3CZ48,0.9831,Positive,0.9831
B0BL11S5QK,0.9831,Positive,0.9831
B07KSB1MLX,0.9831,Positive,0.9831
B08R69WBN7,0.9831,Positive,0.9831
B08R69VDHT,0.9831,Positive,0.9831
B07Z1Z77ZZ,0.9831,Positive,0.9831
B097R45BH8,0.983,Positive,0.983
